basepk,topic,category
1581635,amendments to the Customs Act,International Trade and Tariffs
1581873,tripartite representation on labour advisory boards,Social Welfare and Labour
1581857,government procurement and fair wage standards,Social Welfare and Labour
1581829,interest rates on personal investments,Banking and Monetary Policy
1581863,international labour standards and social security,Social Welfare and Labour
1581922,import of secondhand motor vehicles,International Trade and Tariffs
1581891,displaced persons as agricultural labourers,Agriculture and Food Policy
1581902,unemployment insurance benefits during sickness,Social Welfare and Labour
1581895,immigration of displaced persons and German relatives,"Justice, Constitution, and Indigenous Affairs"
1581887,seasonal agricultural labour mobility and transport,Agriculture and Food Policy
1581855,enforcement of fair-wage clauses in federal contracts,Social Welfare and Labour
1581910,correction of Canada Forestry Act news report,Natural Resources and Intergovernmental Relations
1581894,integration of displaced persons into the workforce,Social Welfare and Labour
1581912,recognition of agricultural achievements in Vegreville constituency,Agriculture and Food Policy
1581948,prohibition of crime comics and obscene literature,"Justice, Constitution, and Indigenous Affairs"
1581943,prohibition of crime comic books,"Justice, Constitution, and Indigenous Affairs"
1581949,regulation of crime comic books,"Justice, Constitution, and Indigenous Affairs"
1582037,protection of the Canadian merchant marine,Transportation and Communications
1581747,viability of old-age pension schemes,Social Welfare and Labour
1581982,approval of Dominion Lands Act regulations,Natural Resources and Intergovernmental Relations
1581927,regulation of crime comics and obscene literature,"Justice, Constitution, and Indigenous Affairs"
1582057,shipbuilding and shipping industry support,Transportation and Communications
1581988,amendment to government employees compensation act,Social Welfare and Labour
1581928,prohibition of crime comics,"Justice, Constitution, and Indigenous Affairs"
1581905,legislative agenda and schedule of business,Government and Parliamentary Affairs
1582030,Canadian shipbuilding and merchant marine policy,Transportation and Communications
1582039,subsidies for canadian shipbuilding and maritime policy,Transportation and Communications
1582041,accelerated depreciation for canadian shipbuilding industry,Transportation and Communications
1582059,shipbuilding industry assistance and report delays,Transportation and Communications
1581935,prohibition of crime-inducing publications,"Justice, Constitution, and Indigenous Affairs"
1582053,shipbuilding industry assistance and maritime policy,Transportation and Communications
1582086,accelerated depreciation for vessel construction,Transportation and Communications
1581970,implementation of international cartels report recommendations,International Trade and Tariffs
1582111,accelerated depreciation for vessel construction,Transportation and Communications
1582033,subsidies for the shipbuilding industry,Transportation and Communications
1581947,regulation of crime comics,"Justice, Constitution, and Indigenous Affairs"
1581951,prohibition of crime comics,"Justice, Constitution, and Indigenous Affairs"
1581950,criminal code amendments regarding crime comics,"Justice, Constitution, and Indigenous Affairs"
1582046,tabling of the maritime commission report,Transportation and Communications
1581897,immigration policy regarding German nationals,"Justice, Constitution, and Indigenous Affairs"
1582042,Canadian Vessel Construction Assistance Act,Transportation and Communications
1582140,Income Tax Act amendments regarding employee loans,Public Finance and Taxation
1582147,corporate succession and income tax avoidance,Public Finance and Taxation
1582154,amendments to the Income Tax Act,Public Finance and Taxation
1581944,regulation of obscene literature and crime comics,"Justice, Constitution, and Indigenous Affairs"
1581715,unemployment assistance distribution in Newfoundland,Social Welfare and Labour
1582146,corporate loans for employee stock purchases,Public Finance and Taxation
1582198,Income Tax Act regulations approval process,Public Finance and Taxation
1582164,drafting of the Income Tax Act,Public Finance and Taxation
1582018,Canadian shipbuilding and shipping industry crisis,Transportation and Communications
1582060,Canadian merchant marine fleet statistics,Transportation and Communications
1582149,amendments to income tax loan provisions,Public Finance and Taxation
1582150,Income Tax Act amendments,Public Finance and Taxation
1582195,straight-line depreciation and income tax recapture provisions,Public Finance and Taxation
1582148,Income Tax Act amendments regarding private companies,Public Finance and Taxation
1581966,fair wage provisions in federal government contracts,Social Welfare and Labour
1582227,taxation of farm machinery depreciation,Public Finance and Taxation
1582229,income tax depreciation rules for farmers,Public Finance and Taxation
1582000,revision of the Bankruptcy Act,"Justice, Constitution, and Indigenous Affairs"
1582216,income tax act amendments,Public Finance and Taxation
1582232,Income Tax Act amendments for farmers,Public Finance and Taxation
1582207,depreciation allowances for farmers' income tax,Public Finance and Taxation
1582252,income tax recapture provisions,Public Finance and Taxation
1582251,taxation of insurance proceeds for destroyed assets,Public Finance and Taxation
1582144,corporate loan restrictions under the Income Tax Act,Public Finance and Taxation
1582249,impact of income tax on agricultural production,Public Finance and Taxation
1582243,income tax depreciation and insurance regulations,Public Finance and Taxation
1582196,parliamentary oversight of income tax regulations,Public Finance and Taxation
1582264,simplification of farmers' income tax forms,Public Finance and Taxation
1582263,tax depreciation methods for farmers,Public Finance and Taxation
1582235,income tax depreciation regulations,Public Finance and Taxation
1581952,prohibition of crime comics,"Justice, Constitution, and Indigenous Affairs"
1582329,income tax treatment of farm management expenses,Public Finance and Taxation
1582322,depreciation rates under income tax legislation,Public Finance and Taxation
1582338,parliamentary oversight of income tax amendments,Public Finance and Taxation
1582310,taxation of timber land sales,Public Finance and Taxation
1582283,income tax on farm machinery sales,Public Finance and Taxation
