topic,category,error
Farm Credit Corporation financing for farmers,"Sectoral Policy: Resources, Agriculture & Transport",
farm machinery syndicate liability,"Sectoral Policy: Resources, Agriculture & Transport",
Farm Credit Corporation loan regulations,"Sectoral Policy: Resources, Agriculture & Transport",
farm machinery loans and insurance,"Sectoral Policy: Resources, Agriculture & Transport",
farm machinery syndicate financing,"Sectoral Policy: Resources, Agriculture & Transport",
farm equipment purchase assistance,"Sectoral Policy: Resources, Agriculture & Transport",
Farm Credit Corporation bill administration,"Sectoral Policy: Resources, Agriculture & Transport",
Canadian ownership of company shares,Economy & Public Finance,
urban renewal and public housing in Ontario,Social Policy,
Central Mortgage and Housing Corporation,Social Policy,
Robert Shaw's position at Expo '67,Government & Electoral Affairs,
farm machinery cost sharing,"Sectoral Policy: Resources, Agriculture & Transport",
cost of operating farm improvement loans,"Sectoral Policy: Resources, Agriculture & Transport",
interest rates for syndicate borrowing,"Sectoral Policy: Resources, Agriculture & Transport",
farm machinery syndicates agreements,"Sectoral Policy: Resources, Agriculture & Transport",
definition of farm machinery under Farm Credit Act,"Sectoral Policy: Resources, Agriculture & Transport",
farm credit and chattel mortgages,"Sectoral Policy: Resources, Agriculture & Transport",
limits of discussion on resolution,Parliamentary Procedure,
Prairie Farm Assistance Act debate scope,Parliamentary Procedure,
Prairie Farm Assistance Act discussion,"Sectoral Policy: Resources, Agriculture & Transport",
estimates of the Minister of Justice,Government & Electoral Affairs,
breach of privilege and obstruction,Parliamentary Procedure,
sale of railway property,"Sectoral Policy: Resources, Agriculture & Transport",
Saint John river wharves and facilities,"Sectoral Policy: Resources, Agriculture & Transport",
federal assistance for mental retardation research,Social Policy,
defence department retirement counselling,Defence & National Security,
mental health research grants,Social Policy,
Canadian highway safety council conference,Government & Electoral Affairs,
tax dollars collected by province,Taxation,
Hal Banks disappearance and S.I.U. investigation,"Justice, Rights & Immigration",
federal-provincial attorneys general conference,Government & Electoral Affairs,
incident at queen's printer's office,Parliamentary Procedure,
federal jurisdiction in trade and commerce,Constitutional & Intergovernmental Relations,
CTV broadcast of Queen's arrival,Government & Electoral Affairs,
adjournment motion on Hal Banks,Parliamentary Procedure,
Hal Banks investigation by R.C.M.P. and F.B.I,"Justice, Rights & Immigration",
RCMP-FBI information exchange,Trade & Foreign Affairs,
Banks case and government conduct,"Justice, Rights & Immigration",
bail application for Banks,"Justice, Rights & Immigration",
bail for Hal Banks,"Justice, Rights & Immigration",
bail and the Criminal Code,"Justice, Rights & Immigration",
judge's discretion on extradition,"Justice, Rights & Immigration",
Hal Banks bond posting,"Justice, Rights & Immigration",
alleged deal with Banks,"Justice, Rights & Immigration",
question of privilege regarding union matters,Parliamentary Procedure,
prosecutions following Norris commission recommendations,"Justice, Rights & Immigration",
bail bond recognizance in Quebec courts,"Justice, Rights & Immigration",
RCMP investigation of Banks and former government inaction,"Justice, Rights & Immigration",
Tory constitutional irresponsibility,Constitutional & Intergovernmental Relations,
Norris report on Hal Banks,"Justice, Rights & Immigration",
Great Lakes water levels and pollution reference,"Sectoral Policy: Resources, Agriculture & Transport",
egg deficiency payment program,"Sectoral Policy: Resources, Agriculture & Transport",
Union Carbide security issue and balance of payments,Economy & Public Finance,
immigration status of Daisy Maud Henry,"Justice, Rights & Immigration",
Greek seamen's immigration appeals,"Justice, Rights & Immigration",
immigration department legal advice,"Justice, Rights & Immigration",
immigration and Canadian domicile,"Justice, Rights & Immigration",
turkey imports from the United States,Trade & Foreign Affairs,
C.B.C. flag committee coverage,Government & Electoral Affairs,
public service prevailing rates employees pay,Government & Electoral Affairs,
Canada's energy supply and trade,"Sectoral Policy: Resources, Agriculture & Transport",
energy policy and trade,"Sectoral Policy: Resources, Agriculture & Transport",
national energy policy and administration,"Sectoral Policy: Resources, Agriculture & Transport",
Venezuelan vs. western Canadian crude oil prices,"Sectoral Policy: Resources, Agriculture & Transport",
prevailing wage policy and federal employment,Government & Electoral Affairs,
federal revenue and expenditure study,Economy & Public Finance,
sales tax and customs duties redistribution,Taxation,
employer tax remittance deposit system,Taxation,
monthly tax remittances by employers,Taxation,
federal-provincial discussion on Indian affairs,Constitutional & Intergovernmental Relations,
provincial services for Indigenous peoples,Social Policy,
Indian children attending Ontario schools,Social Policy,
house leaders meeting report,Parliamentary Procedure,
confidential meetings disclosure,Parliamentary Procedure,
CBC coverage of royal visit,Government & Electoral Affairs,
pollution in Red river waters,"Sectoral Policy: Resources, Agriculture & Transport",
Procedure Committee report on standing orders,Parliamentary Procedure,
Procedure Committee recommendations,Parliamentary Procedure,
parliamentary procedure and criticism,Parliamentary Procedure,
parliamentary procedure and reform,Parliamentary Procedure,
procedural difficulty with committee report amendment,Parliamentary Procedure,
time limit on speeches,Parliamentary Procedure,
committee of the whole speeches,Parliamentary Procedure,
house debate and party representation,Parliamentary Procedure,
House of Commons committee procedure,Parliamentary Procedure,
parliamentary procedure on rule amendments,Parliamentary Procedure,
announcement of house business,Parliamentary Procedure,
turkey imports and protection,Trade & Foreign Affairs,
Indian treaty rights and wildlife law,"Justice, Rights & Immigration",
crop insurance program by province,"Sectoral Policy: Resources, Agriculture & Transport",
"pension adjustments for widows, dependants and orphans",Social Policy,
seamen's disability benefits,Social Policy,
international labour convention on discrimination,Trade & Foreign Affairs,
ILO convention on discrimination in employment,Trade & Foreign Affairs,
ratification of ILO convention against discrimination,Trade & Foreign Affairs,
federal labour standards legislation,"Sectoral Policy: Resources, Agriculture & Transport",
Canada Labour (Standards) Code,"Sectoral Policy: Resources, Agriculture & Transport",
notice of questions to be raised at ten o'clock,Parliamentary Procedure,
Canada Labour (Standards) Code provisions,"Sectoral Policy: Resources, Agriculture & Transport",
federal labour legislation amendments,"Sectoral Policy: Resources, Agriculture & Transport",
national minimum wage legislation,"Sectoral Policy: Resources, Agriculture & Transport",
maximum weekly hours and take-home pay,"Sectoral Policy: Resources, Agriculture & Transport",
labour legislation implementation,"Sectoral Policy: Resources, Agriculture & Transport",
minimum standards and poverty discussion,"Sectoral Policy: Resources, Agriculture & Transport",
Banff advisory council meeting and allegations,Government & Electoral Affairs,
Banff building project,Government & Electoral Affairs,
railway passenger train service reductions,"Sectoral Policy: Resources, Agriculture & Transport",
fishing and tourism in Northwest Territories,"Sectoral Policy: Resources, Agriculture & Transport",
Queen's visit and parliamentary address,Parliamentary Procedure,
correction of misleading statement on turkey imports,Trade & Foreign Affairs,
departmental contracts and dredging expenditures,Government & Electoral Affairs,
